fixture_name,canonical
1. FC Köln,fc koln
1. FC Union Berlin,union berlin
1. FSV Mainz 05,mainz
AJ Auxerre,auxerre
AS Monaco,monaco
Angers SCO,angers
Arsenal,arsenal
Aston Villa,aston villa
Atalanta,atalanta
Athletic Club,ath bilbao
Atlético de Madrid,ath madrid
Bayer 04 Leverkusen,leverkusen
Bologna,bologna
Borussia Dortmund,dortmund
Borussia Mönchengladbach,m gladbach
Bournemouth,bournemouth
Brentford,brentford
Brighton,brighton
CA Osasuna,osasuna
Cagliari,cagliari
Celta,celta
Chelsea,chelsea
Como,como
Coventry,coventry
Crystal Palace,crystal palace
Deportivo Alavés,alaves
Eintracht Frankfurt,ein frankfurt
Elche CF,elche
Estac Troyes,troyes
Everton,everton
FC Augsburg,augsburg
FC Barcelona,barcelona
FC Bayern München,bayern munich
FC Lorient,lorient
FC Schalke 04,schalke 04
Fiorentina,fiorentina
Frosinone,frosinone
Fulham,fulham
Genoa,genoa
Getafe CF,getafe
Hamburger SV,hamburg
Havre Athletic Club,le havre
Hull,hull
Internazionale,inter
Ipswich,ipswich
Juventus,juventus
LOSC Lille,lille
Lazio,lazio
Le Mans FC,le mans
Lecce,lecce
Leeds,leeds
Levante UD,levante
Liverpool,liverpool
Man City,man city
Man Utd,man united
Milan,milan
Monza,monza
Málaga CF,malaga
Napoli,napoli
Newcastle,newcastle
Nott'm Forest,nott m forest
OGC Nice,nice
Olympique Lyonnais,lyon
Olympique de Marseille,marseille
Paris FC,paris fc
Paris Saint-Germain,paris sg
Parma,parma
R. Racing Club,santander
RB Leipzig,rb leipzig
RC Deportivo,la coruna
RC Lens,lens
RC Strasbourg Alsace,strasbourg
RCD Espanyol de Barcelona,espanol
Rayo Vallecano,vallecano
Real Betis,betis
Real Madrid,real madrid
Real Sociedad,sociedad
Roma,roma
SC Paderborn 07,paderborn
SV Werder Bremen,werder bremen
Sassuolo,sassuolo
Sevilla FC,sevilla
Sport-Club Freiburg,freiburg
Spurs,tottenham
Stade Brestois 29,brest
Stade Rennais FC,rennes
Sunderland,sunderland
TSG Hoffenheim,hoffenheim
Torino,torino
Toulouse FC,toulouse
Udinese,udinese
Valencia CF,valencia
Venezia,venezia
VfB Stuttgart,stuttgart
Villarreal CF,villarreal
